Series ID,Year,Period,Label,Value,1-Month Net Change
APU0000708111,2022,M10,2022 Oct,3.419,0.517
APU0000708111,2022,M11,2022 Nov,3.589,0.170
APU0000708111,2022,M12,2022 Dec,4.250,0.661
APU0000708111,2023,M01,2023 Jan,4.823,0.573
APU0000708111,2023,M02,2023 Feb,4.211,-0.612
APU0000708111,2023,M03,2023 Mar,3.446,-0.765
APU0000708111,2023,M04,2023 Apr,3.270,-0.176
APU0000708111,2023,M05,2023 May,2.666,-0.604
APU0000708111,2023,M06,2023 Jun,2.219,-0.447
APU0000708111,2023,M07,2023 Jul,2.094,-0.125
APU0000708111,2023,M08,2023 Aug,2.043,-0.051
APU0000708111,2023,M09,2023 Sep,2.065,0.022
APU0000708111,2023,M10,2023 Oct,2.072,0.007
APU0000708111,2023,M11,2023 Nov,2.138,0.066
APU0000708111,2023,M12,2023 Dec,2.507,0.369
APU0000708111,2024,M01,2024 Jan,2.522,0.015
APU0000708111,2024,M02,2024 Feb,2.996,0.474
APU0000708111,2024,M03,2024 Mar,2.992,-0.004
APU0000708111,2024,M04,2024 Apr,2.864,-0.128
APU0000708111,2024,M05,2024 May,2.699,-0.165
APU0000708111,2024,M06,2024 Jun,2.715,0.016
APU0000708111,2024,M07,2024 Jul,3.080,0.365
APU0000708111,2024,M08,2024 Aug,3.204,0.124
APU0000708111,2024,M09,2024 Sep,3.821,0.617
APU0000708111,2024,M10,2024 Oct,3.370,-0.451
APU0000708111,2024,M11,2024 Nov,3.649,0.279
APU0000708111,2024,M12,2024 Dec,4.146,0.497
APU0000708111,2025,M01,2025 Jan,4.953,0.807
APU0000708111,2025,M02,2025 Feb,5.897,0.944
